City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,77.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1,Chilakalurupet,IN,77.63,scattered clouds,16.0833,80.1667,Sri vishnu priya lodge
6,Puerto Ayora,EC,80.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Faanui,PF,82.18,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
21,Bowen,AU,79.36,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
23,Hithadhoo,MV,82.56,clear sky,-0.6,73.0833,Scoop Guest House
24,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
26,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
32,Santa Rosa,PH,83.1,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
34,Kapaa,US,80.19,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Santa Cruz,BO,78.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
36,Santa Marta,CO,87.85,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
37,Rikitea,PF,79.3,clear sky,-23.1203,-134.9692,People ThankYou
40,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
42,Pawa,PH,79.14,overcast clouds,13.1747,123.7328,Hotel St. Ellis
43,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
53,Butaritari,KI,81.61,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
64,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
68,Nizwa,OM,76.26,clear sky,22.9333,57.5333,Orient Apartments
80,Atuona,PF,79.41,scattered clouds,-9.8,-139.0333,Villa Enata
83,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
85,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
86,Laguna,US,81.43,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
91,Lucea,JM,80.46,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
98,Sao Jose Da Coroa Grande,BR,78.73,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
99,Padang,ID,75.56,clear sky,-0.9492,100.3543,Mercure Padang
101,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
102,Ewa Beach,US,81.01,clear sky,21.3156,-158.0072,Base Lodging
104,Shirgaon,IN,77.04,clear sky,19.7,72.7,"Samarth Krupa Farm, Palghar"
105,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
114,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
116,Maningrida,AU,79.12,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
123,Shivrajpur,IN,80.26,clear sky,22.4167,73.65,Caravan Serai JAMBUGHODA RESORT
126,Pointe Michel,DM,79.09,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
136,Mana,GF,77.14,broken clouds,5.6592,-53.7767,LE SAMANA
140,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
145,Axim,GH,80.38,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
147,Samarai,PG,84.52,overcast clouds,-10.6167,150.6667,Nuli Sapi
149,Victoria,HK,75.94,broken clouds,22.2855,114.1577,Mini Hotel Central
151,San Patricio,US,89.55,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
153,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
