City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,77.25,80,55,4.0,broken clouds
1,Chilakalurupet,IN,16.0833,80.1667,77.63,92,41,4.38,scattered clouds
2,Punta Arenas,CL,-53.15,-70.9167,46.51,93,100,11.5,light rain
3,Ancud,CL,-41.8697,-73.8203,53.22,88,95,8.66,light rain
4,Aksu,CN,41.1231,80.2644,46.26,53,75,3.53,broken clouds
5,Mataura,NZ,-46.1927,168.8643,61.84,66,24,0.83,few clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,80.56,78,61,8.95,light rain
7,Hobart,AU,-42.8794,147.3294,63.27,86,20,4.61,few clouds
8,Castro,BR,-24.7911,-50.0119,64.0,95,96,4.32,overcast clouds
9,Albany,US,42.6001,-73.9662,45.03,87,97,1.99,moderate rain
10,Busselton,AU,-33.65,115.3333,62.28,79,96,17.54,overcast clouds
11,Tessalit,ML,20.1986,1.0114,85.95,11,91,14.25,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,46.06,93,75,11.5,moderate rain
13,Barrow,US,71.2906,-156.7887,1.42,71,0,20.71,haze
14,Sitka,US,57.0531,-135.33,44.49,57,40,5.75,scattered clouds
15,New Norfolk,AU,-42.7826,147.0587,62.92,66,2,2.73,clear sky
16,Ilulissat,GL,69.2167,-51.1,13.17,83,100,4.5,overcast clouds
17,Faanui,PF,-16.4833,-151.75,82.18,72,47,12.8,scattered clouds
18,Bethel,US,41.3712,-73.414,45.64,82,100,13.0,light rain
19,Avera,US,33.194,-82.5271,65.71,34,0,16.82,clear sky
20,Severo-Kurilsk,RU,50.6789,156.125,32.88,95,100,19.13,light snow
21,Bowen,AU,-20.0167,148.2333,79.36,74,64,10.89,broken clouds
22,Waddan,LY,29.1614,16.139,60.58,16,0,15.43,clear sky
23,Hithadhoo,MV,-0.6,73.0833,82.56,69,1,11.18,clear sky
24,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,16,7.2,few clouds
25,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,4.61,scattered clouds
26,Port Hedland,AU,-20.3167,118.5667,82.45,74,9,6.91,clear sky
27,Khatanga,RU,71.9667,102.5,-14.17,100,66,7.56,broken clouds
28,Eslov,SE,55.8393,13.3039,42.03,55,19,5.5,few clouds
29,Caconda,AO,-13.7333,15.0667,61.9,80,100,1.86,overcast clouds
30,Mangan,IN,27.5167,88.5333,63.97,48,4,5.95,clear sky
31,Hermanus,ZA,-34.4187,19.2345,64.8,79,61,11.68,broken clouds
32,Santa Rosa,PH,14.3122,121.1114,83.1,71,6,7.67,clear sky
33,Pangnirtung,CA,66.1451,-65.7125,15.39,75,98,7.58,overcast clouds
34,Kapaa,US,22.0752,-159.319,80.19,61,14,7.0,few clouds
35,Santa Cruz,BO,-17.8,-63.1667,78.85,44,40,4.61,scattered clouds
36,Santa Marta,CO,11.2408,-74.199,87.85,70,75,13.8,broken clouds
37,Rikitea,PF,-23.1203,-134.9692,79.3,72,3,13.42,clear sky
38,Hamilton,US,39.1834,-84.5333,38.61,65,100,21.85,overcast clouds
39,Asau,RO,46.4333,26.4,54.52,41,91,12.86,overcast clouds
40,Port Blair,IN,11.6667,92.75,77.04,100,20,2.3,mist
41,Jalu,LY,29.0331,21.5482,58.53,20,0,10.02,clear sky
42,Pawa,PH,13.1747,123.7328,79.14,84,97,6.33,overcast clouds
43,Avarua,CK,-21.2078,-159.775,78.85,89,75,14.97,light rain
44,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,94,75,22.1,broken clouds
45,Carnarvon,AU,-24.8667,113.6333,71.67,78,44,0.0,scattered clouds
46,Nexo,DK,55.0607,15.1306,37.49,65,63,10.83,broken clouds
47,Ostrovnoy,RU,68.0531,39.5131,22.42,57,100,16.26,overcast clouds
48,Floro,NO,61.5996,5.0328,42.96,87,100,10.36,mist
49,Namibe,AO,-15.1961,12.1522,72.41,73,11,7.78,few clouds
50,Fortuna,US,40.5982,-124.1573,63.86,75,0,13.8,clear sky
51,Bluff,NZ,-46.6,168.3333,57.54,75,58,2.73,broken clouds
52,Ahipara,NZ,-35.1667,173.1667,71.35,62,1,8.1,clear sky
53,Butaritari,KI,3.0707,172.7902,81.61,74,99,13.29,overcast clouds
54,Ponta Do Sol,PT,32.6667,-17.1,66.06,83,100,17.2,overcast clouds
55,Port Elizabeth,ZA,-33.918,25.5701,64.69,91,75,5.75,broken clouds
56,Lokosovo,RU,61.1333,74.8167,11.8,92,82,9.46,broken clouds
57,Cape Town,ZA,-33.9258,18.4232,65.26,69,0,9.22,clear sky
58,Moron,AR,-34.6534,-58.6198,69.55,79,8,4.83,clear sky
59,Nikolskoye,RU,59.7035,30.7861,26.49,75,100,18.16,overcast clouds
60,Kaitangata,NZ,-46.2817,169.8464,60.28,68,24,0.87,few clouds
61,Provideniya,RU,64.3833,-173.3,21.4,80,100,0.69,overcast clouds
62,Lima,PE,-12.0432,-77.0282,71.85,63,0,10.36,clear sky
63,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,93,100,8.05,overcast clouds
64,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,17.27,few clouds
65,Douglas,US,41.3,-96.167,47.52,27,40,9.22,scattered clouds
66,Talaya,RU,61.3833,152.75,3.02,90,99,1.25,overcast clouds
67,Katav-Ivanovsk,RU,54.7531,58.1956,11.84,93,36,4.47,scattered clouds
68,Nizwa,OM,22.9333,57.5333,76.26,17,6,4.07,clear sky
69,Dikson,RU,73.5069,80.5464,-7.58,98,100,12.59,overcast clouds
70,Tairua,NZ,-37.0167,175.85,61.57,72,100,8.95,overcast clouds
71,Kapiri Mposhi,ZM,-13.9652,28.6809,64.27,95,83,2.37,broken clouds
72,Collierville,US,35.042,-89.6645,62.1,27,0,9.22,clear sky
73,Inirida,CO,3.8653,-67.9239,73.09,98,98,1.23,overcast clouds
74,Abu Samrah,SY,35.3029,37.1841,44.44,79,35,13.38,scattered clouds
75,Vestmanna,FO,62.1564,-7.1664,45.52,87,75,10.36,broken clouds
76,Upernavik,GL,72.7868,-56.1549,12.72,92,100,5.86,overcast clouds
77,Tena,EC,-0.9833,-77.8167,71.76,99,96,1.43,light rain
78,Yerbogachen,RU,61.2767,108.0108,18.57,94,100,10.4,light snow
79,Atocha,BO,-20.9333,-66.2333,53.53,17,6,9.42,clear sky
80,Atuona,PF,-9.8,-139.0333,79.41,77,34,14.99,scattered clouds
81,Sudak,UA,44.85,34.9667,43.93,69,20,14.29,few clouds
82,Puerto Madryn,AR,-42.7692,-65.0385,68.31,43,1,10.0,clear sky
83,San Cristobal,VE,7.7669,-72.225,80.78,72,100,3.69,overcast clouds
84,Qinhuangdao,CN,39.9317,119.5883,41.9,30,40,6.2,scattered clouds
85,Vaini,TO,-21.2,-175.2,82.56,74,40,6.91,scattered clouds
86,Laguna,US,38.421,-121.4238,81.43,36,0,9.22,clear sky
87,Bukachacha,RU,52.9833,116.9167,11.84,98,79,2.66,broken clouds
88,Langxiang,CN,46.95,128.8833,29.12,85,86,6.91,overcast clouds
89,Naron,ES,43.5167,-8.1528,61.03,80,91,3.06,overcast clouds
90,Pisco,PE,-13.7,-76.2167,73.45,64,0,12.66,clear sky
91,Lucea,JM,18.451,-78.1736,80.46,68,89,9.53,overcast clouds
92,Torbay,CA,47.6666,-52.7314,37.27,96,100,18.41,light rain
93,Shingu,JP,33.7333,135.9833,59.76,83,65,6.87,broken clouds
94,Imbituba,BR,-28.24,-48.6703,68.52,78,4,1.54,light rain
95,Kawalu,ID,-7.3817,108.2082,71.42,92,97,1.72,overcast clouds
96,Athabasca,CA,54.7169,-113.2854,23.41,84,100,11.41,overcast clouds
97,Mustasaari,FI,63.1142,21.6822,26.89,58,0,4.61,clear sky
98,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.73,84,91,4.03,overcast clouds
99,Padang,ID,-0.9492,100.3543,75.56,85,7,5.21,clear sky
100,Qaanaaq,GL,77.484,-69.3632,-3.28,93,99,4.03,overcast clouds
101,Georgetown,MY,5.4112,100.3354,80.53,88,20,3.44,few clouds
102,Ewa Beach,US,21.3156,-158.0072,81.01,48,2,13.0,clear sky
103,Naruto,JP,34.1833,134.6167,57.18,67,75,14.97,broken clouds
104,Shirgaon,IN,19.7,72.7,77.04,79,2,3.02,clear sky
105,Olinda,BR,-8.0089,-34.8553,82.13,78,40,5.75,scattered clouds
106,Marshall,US,34.3834,-86.3333,64.45,16,0,18.41,clear sky
107,Ribeira Grande,PT,38.5167,-28.7,61.02,85,99,20.76,overcast clouds
108,Sept-Iles,CA,50.2001,-66.3821,32.43,95,100,6.91,mist
109,Narsaq,GL,60.9167,-46.05,19.17,80,16,4.56,few clouds
110,San Quintin,MX,30.4833,-115.95,65.89,70,20,9.8,few clouds
111,East London,ZA,-33.0153,27.9116,66.87,87,93,9.89,light rain
112,Muros,ES,42.7762,-9.0603,54.09,88,99,6.13,overcast clouds
113,Tulle,FR,45.3333,1.8333,45.54,66,18,3.11,few clouds
114,Cayenne,GF,4.9333,-52.3333,80.1,1,75,7.0,broken clouds
115,Damaturu,NG,11.747,11.9608,73.62,15,53,9.98,broken clouds
116,Maningrida,AU,-12.0667,134.2667,79.12,72,74,5.28,broken clouds
117,Solnechnyy,RU,50.7214,136.6319,21.38,93,100,11.83,snow
118,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,65,40,13.8,scattered clouds
119,Znamenskoye,RU,57.1281,73.8282,-6.47,100,52,3.29,broken clouds
120,Verkhoyansk,RU,67.5447,133.385,-2.92,95,96,2.86,overcast clouds
121,Chuy,UY,-33.6971,-53.4616,65.05,78,40,11.68,scattered clouds
122,Kaputa,ZM,-8.4689,29.6619,68.22,90,48,2.04,light rain
