City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cambridge,CA,2022-03-26 21:38:56,43.3601,-80.3127,38.75,84,100,14.97
1,Atuona,PF,2022-03-26 21:38:50,-9.8,-139.0333,79.39,76,42,15.17
2,Dandong,CN,2022-03-26 21:42:42,40.1292,124.3947,39.94,56,100,6.38
3,Petropavlovsk-Kamchatskiy,RU,2022-03-26 21:40:26,53.0452,158.6483,17.78,62,0,6.71
4,Ribeira Grande,PT,2022-03-26 21:42:42,38.5167,-28.7,59.4,82,75,10.36
5,Maridi,SS,2022-03-26 21:42:43,4.9158,29.4742,74.23,63,61,5.12
6,Grand Gaube,MU,2022-03-26 21:42:43,-20.0064,57.6608,80.38,82,5,3.0
7,Hobart,AU,2022-03-26 21:34:22,-42.8794,147.3294,56.05,94,20,1.14
8,Weligama,LK,2022-03-26 21:42:43,5.9667,80.4167,75.34,89,3,4.61
9,Mataura,NZ,2022-03-26 21:37:39,-46.1927,168.8643,56.89,81,25,0.07
10,Lompoc,US,2022-03-26 21:36:49,34.6391,-120.4579,68.85,75,0,16.11
11,Ilulissat,GL,2022-03-26 21:38:48,69.2167,-51.1,15.82,67,100,0.0
12,Havoysund,NO,2022-03-26 21:42:44,70.9963,24.6622,26.83,63,100,18.81
13,Bredasdorp,ZA,2022-03-26 21:41:36,-34.5322,20.0403,63.09,77,67,9.64
14,Chokurdakh,RU,2022-03-26 21:42:45,70.6333,147.9167,-1.41,96,99,8.68
15,Kapaa,US,2022-03-26 21:40:22,22.0752,-159.319,79.2,62,0,16.11
16,Port Elizabeth,ZA,2022-03-26 21:39:09,-33.918,25.5701,66.49,85,100,4.61
17,Maniitsoq,GL,2022-03-26 21:42:45,65.4167,-52.9,17.17,81,63,7.56
18,Lagunas,PE,2022-03-26 21:42:46,-5.2269,-75.6753,84.47,67,98,2.59
19,Bulolo,PG,2022-03-26 21:42:46,-7.2,146.65,73.71,92,100,0.63
20,Hilo,US,2022-03-26 21:38:53,19.7297,-155.09,80.33,70,75,8.05
